Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Home,Chrome 132.0.6834.160,,,05-02-2025 15:07:44,05-02-2025 15:08:15,31.129s,FAILED
,,,,,,,
Test Cases/Home/숏컷 객체 강조,Chrome 132.0.6834.160,,,05-02-2025 15:07:44,05-02-2025 15:08:05,21.207s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,05-02-2025 15:07:44,05-02-2025 15:07:47,2.765s,PASSED
"navigateToUrl(""https://tapas.io/"")",Chrome 132.0.6834.160,,,05-02-2025 15:07:47,05-02-2025 15:07:49,1.717s,PASSED
"searchBox = findTestObject(""숏컷 미로그인/Page_Home  Spotlight/input_More_q"")",Chrome 132.0.6834.160,,,05-02-2025 15:07:49,05-02-2025 15:07:49,0.075s,PASSED
HighlightElement.run(searchBox),Chrome 132.0.6834.160,,,05-02-2025 15:07:49,05-02-2025 15:07:54,5.315s,PASSED
"verifyElementPresent(searchBox, 0)",Chrome 132.0.6834.160,,,05-02-2025 15:07:54,05-02-2025 15:07:54,0.242s,PASSED
"logoImage = findTestObject(""숏컷 미로그인/Page_Home  Spotlight/img_More_absolute right-2 top-24 -translate-y-24"")",Chrome 132.0.6834.160,,,05-02-2025 15:07:54,05-02-2025 15:07:54,0.007s,PASSED
HighlightElement.run(logoImage),Chrome 132.0.6834.160,,,05-02-2025 15:07:54,05-02-2025 15:07:58,3.293s,PASSED
"verifyElementPresent(logoImage, 0)",Chrome 132.0.6834.160,,,05-02-2025 15:07:58,05-02-2025 15:07:58,0.249s,PASSED
"loginButton = findTestObject(""숏컷 미로그인/Page_Home  Spotlight/button_Login"")",Chrome 132.0.6834.160,,,05-02-2025 15:07:58,05-02-2025 15:07:58,0.009s,PASSED
HighlightElement.run(loginButton),Chrome 132.0.6834.160,,,05-02-2025 15:07:58,05-02-2025 15:08:01,3.295s,PASSED
"verifyElementPresent(loginButton, 0)",Chrome 132.0.6834.160,,,05-02-2025 15:08:01,05-02-2025 15:08:01,0.234s,PASSED
"publishButton = findTestObject(""숏컷 미로그인/Page_Home  Spotlight/button_Publish"")",Chrome 132.0.6834.160,,,05-02-2025 15:08:01,05-02-2025 15:08:01,0.005s,PASSED
HighlightElement.run(publishButton),Chrome 132.0.6834.160,,,05-02-2025 15:08:01,05-02-2025 15:08:05,3.281s,PASSED
"verifyElementPresent(publishButton, 0)",Chrome 132.0.6834.160,,,05-02-2025 15:08:05,05-02-2025 15:08:05,0.238s,PASSED
closeBrowser(),Chrome 132.0.6834.160,,,05-02-2025 15:08:05,05-02-2025 15:08:05,0.201s,PASSED
,,,,,,,
Test Cases/Home/숏컷 확인 - 로그인 - 강조 확인,Chrome 132.0.6834.160,,,05-02-2025 15:08:05,05-02-2025 15:08:15,9.757s,FAILED
"url = ""https://tapas.io/account/signin?from=/""",Chrome 132.0.6834.160,,,05-02-2025 15:08:06,05-02-2025 15:08:06,0.002s,PASSED
"email = ""dkttapas00@gmail.com""",Chrome 132.0.6834.160,,,05-02-2025 15:08:06,05-02-2025 15:08:06,0.001s,PASSED
"password = ""winehouse""",Chrome 132.0.6834.160,,,05-02-2025 15:08:06,05-02-2025 15:08:06,0.001s,PASSED
"cookieFilePath = ""cookies.save""",Chrome 132.0.6834.160,,,05-02-2025 15:08:06,05-02-2025 15:08:06,0.002s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,05-02-2025 15:08:06,05-02-2025 15:08:07,1.332s,PASSED
navigateToUrl(url),Chrome 132.0.6834.160,,,05-02-2025 15:08:07,05-02-2025 15:08:11,4.090s,PASSED
cookieFile = new java.io.File(cookieFilePath),Chrome 132.0.6834.160,,,05-02-2025 15:08:11,05-02-2025 15:08:11,0.002s,PASSED
if (cookieFile.exists()),Chrome 132.0.6834.160,,,05-02-2025 15:08:11,05-02-2025 15:08:14,2.724s,PASSED
"searchBox = findTestObject(""숏컷 로그인 신규/Page_Home  Spotlight/input_More_q"")",Chrome 132.0.6834.160,,,05-02-2025 15:08:14,05-02-2025 15:08:14,0.008s,PASSED
HighlightElement.run(searchBox),Chrome 132.0.6834.160,,,05-02-2025 15:08:14,05-02-2025 15:08:15,1.147s,FAILED
